日期,来源,类别,关键词,标题,摘要,链接
2026-09-20 19:38:38,东方财富·21世纪经济报道,行业,医药,1100亿美元出海潮下，跨国药企竞逐慢病与罕见病赛道,从石药集团185亿美元的“天价”平台合作，到恒瑞医药高达152亿美元的共同开发协议，中国创新药正以前所未有的速度嵌入全球医药价值链。当BD交易从“卖权益”走向“建生态”，一个更深层的转变正在发生：跨国药企与中国本土创新的关系，已从简单的产品引进升级为科学能力的双向赋能。,http://finance.eastmoney.com/a/202609203879427986.html
2026-09-20 19:35:00,东方财富·老狼财经,行业,医药,港股通大换血：三大新兴赛道加强,1 三大新兴赛道扩容 　　生物医药板块调入公司数量最多。合计超过15家，包含丹诺医药-B、瑞博生物-B、英派药业-B、基石药业-B、复宏汉霖、歌礼制药-B等多家创新药企，覆盖小分子创新药、生物药、RNA药物等前沿细分领域。 　　信息技术板块覆盖全产业链。,http://finance.eastmoney.com/a/202609203879427021.html
2026-09-20 19:29:41,东方财富·红星资本局,行业,医药,美迪西子公司被诉违约遭索赔1.59亿元，一审判赔15万！鸿绪生物：正沟通上诉,9月18日晚，美迪西公告称，近日收到一审判决，法院判决美迪西普亚医药科技（上海）有限公司（简称“美迪西普亚”）向鸿绪生物医药科技（北京）有限公司（简称“鸿绪生物”）赔付款项共计15.06万元，驳回鸿绪生物其他诉讼请求。同时，法院裁定准许美迪西普亚撤回反诉请求。,http://finance.eastmoney.com/a/202609203879426324.html
2026-09-20 19:22:58,东方财富·央广财经,行业,医药,从沪市医药行业看资本市场韧性支撑,要回答这一问题，不妨以生物医药产业一窥究竟。,http://finance.eastmoney.com/a/202609203879425065.html
2026-09-20 19:16:00,东方财富·证券时报网,行业,医药,追高浮亏38%！公募参与定增不能患上“踏空焦虑”,展望后市机遇，财通基金指出，将重点关注泛AI、TMT、先进制造（电子、机械设备）、医药生物等契合新质生产力方向且行业景气度向上的领域，同时挖掘配套融资类项目中的“价值洼地”。,http://finance.eastmoney.com/a/202609203879425384.html
2026-09-20 19:11:42,东方财富·第一财经,行业,医药,蹭热点还是真AI，资本开始追问药企何时能盈利,在日前举行的2026张江药谷大会暨上海国际生物医药产业周——“资本聚势·生态共筑”上海国投生物医药产业生态大会的圆桌环节，上海未来产业基金投资总监李春园说，在AI与生物医药深度融合已成共识的当下，行业必须直面几个痛点：技术如何去伪存真、落地如何步步为营、价值如何被资本真正认可。,http://finance.eastmoney.com/a/202609203879423534.html
2026-09-20 19:03:46,东方财富·每日经济新闻,行业,医药,一个西班牙巨头，一个国货龙头，国内外美妆大厂为何都盯上皮肤科学赛道？,2025年9月，百雀羚旗下百雀羚生物医药官宣与益丰大药房签署战略合作；2026年1月，珀莱雅官宣与医药零售连锁企业一心堂战略合作。 　　随着更多国货品牌加入战场，外资品牌虽在其他成熟市场有更多经验，品牌拥有更多科研沉淀，但也面临更多压力。,http://finance.eastmoney.com/a/202609203879423271.html
2026-09-20 19:00:15,东方财富·开源证券,行业,医药,开源策略：加息落地 A股利多还是利空？,再平衡方向：（1）继续重点推荐小微盘，关注中证2000和万得微盘股；（2）净利润增速超预期行业：电子、国防军工、计算机、石油石化、有色金属、非银金融；（3）行业再平衡关注：有色、基础化工、新能源、农业、医药，及造船等部分中游制造；（4）银行、公用事业、电力等高股息在高波市场中的风险收益比,http://finance.eastmoney.com/a/202609203879415837.html
2026-09-20 18:59:00,东方财富·证券日报,行业,医药,博济医药：关于道远天使股权投资基金相关事项变更并完成工商变更登记的公告,证券日报网讯9月20日，博济医药发布公告称，公司全资子公司广东广济投资有限公司参与投资的道远天使股权投资基金近日完成工商变更登记。,http://finance.eastmoney.com/a/202609203879417612.html
2026-09-20 18:44:00,东方财富·证券日报,行业,医药,富祥股份预计前三季度扭亏为盈 电解液添加剂景气度持续上行,依托二十余年医药发酵与合成技术积淀，富祥股份构建医药制造、新能源锂电电解液添加剂、合成生物三大业务板块协同发展的产业格局。,http://finance.eastmoney.com/a/202609203879426196.html
